40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1630      	The Ottoman Turks capture Hamadan in Persia (Iran).
1631      	Baldassarre Longhena begins building the church of Santa Maria della Salute in Venice.
1631      	Gustav II Adolf defeats Graf von Tilly's Imperial forces at Breitenfeld.
1631      	Marie de Medicis goes into exile after a plot to remove Cardinal Richelieu fails.
1631      	The building of the Taj Mahal begins at Agra in India.
1631      	The first newspaper, the Gazette de France, is published in Paris.
1632      	Antony Van Dyck settles in London and becomes court painter to King Charles I.
1632      	Bernal Diaz del Castillo's True Story of the Conquest of Mexico is published.
1632      	Charles I grants a charter for the English colony of Maryland.
1632      	Christina becomes queen of Sweden at age 6; Count Oxenstierna rules as regent.
1632      	Dutch artist Rembrandt Harmenszoon van Rijn paints The Anatomy Lesson.
1632      	Gustavus II Adolf defeats Wallenstein at Lutzen but is killed during the battle.
1632      	Imperial general Graf von Tilly is mortally wounded at the Battle of Lech.
1633      	An English colony is established in Connecticut.
1633      	French artist Nicolas Poussin paints The Adoration of the Golden Calf.
1633      	Galileo Galilei is imprisoned for "vehement suspicion of heresy."
1634      	Ferdinand II declares General Wallenstein a traitor; Wallenstein is assassinated.
1634      	French fur trader Jean Nicolet explores Wisconsin.
1634      	Hackney carriages are in use in London for public transport.
1634      	Imperial forces under Ferdinand III defeat the Swedes at Nordlingen.
1635      	Cardinal Richelieu founds the Academie Francaise in Paris.
1635      	France forms an alliance with Sweden and enters the Thirty Years' War.
1635      	Spanish playwright Pedro Calderon de la Barca writes Life Is a Dream.
1635      	The Dutch occupy parts of Formosa (Taiwan).
1635      	The Peace of Prague is signed between Ferdinand II and Protestant German princes.
1636      	Harvard University is founded in Boston.
1636      	Radical Puritan Roger Williams establishes the town of Providence, Rhode Island.
1636      	The Dutch settle in Ceylon (Sri Lanka).
1637      	French dramatist Pierre Corneille writes le Cid.
1637      	Holy Roman Emperor Ferdinand II dies; he is succeeded by his son Ferdinand III.
1637      	Pequot Indians are decimated during the first Indian war in New England.
1637      	Religious radical Anne Hutchinson is tried for heresy in Massachusetts.
1637      	Rene Descartes publishes his concepts of analytic geometry Discourse on Method.
1637      	The first opera house Teatro San Cassiano opens in Venice.
1638      	John Davenport and Theophilus Eaton found New Haven, Connecticut.
1638      	Swedish and Protestant forces defeat the Imperial army at Breisach.
1638      	Swedish settlers found Fort Christina (now Wilmington) on the Delaware River.
1638      	The Turks under Murad IV conquer Baghdad.
1639      	Charles I concedes to Scottish demands after the First Bishops' War.
1639      	Persia (Iran) and the Ottoman Empire sign a peace treaty.
1639      	Spanish artist Jusepe de Ribera paints The Martyrdom of Saint Bartholomew.
1639      	The first North American printing press is established in Cambridge, Mass..
1639      	Tokugawa begins a period of isolation in Japan; only Nagasaki is open to foreigners.
1640      	Coke is made from coal for the first time.
1640      	Russian explorers cross Siberia and arrive at the Pacific Ocean.
1640      	Scots invade England during the Second Bishops' War; Charles I sues for peace.
1640      	The Portuguese rebel against Spanish rule; John IV is crowned king.
1641      	Irish Catholics revolt against the Protestants in Ulster.
1641      	The Dutch seize Melaka and deny the British access to the Moluccas.
1642      	Cardinal Richelieu dies; he is succeeded by Cardinal Mazarin as first minister of France.
1642      	Dutch artist Rembrandt paints the Night Watch.
1642      	Dutch navigator Abel Tasman discovers Tasmania and New Zealand.
1642      	English Parliamentarians close the London theaters.
1642      	Montreal is founded by the French nobleman Sieur de Maisonneuve.
1642      	The English Civil War begins between the Parliamentarians and the Royalists.
1642      	The Swedes under Torstenson defeat the Imperial forces at Breitenfeld.
1643      	Christian IV of Denmark renews the war against Sweden.
1643      	Italian physicist Torricelli demonstrates the principles of the barometer.
1643      	Louis XIV ascends to the French throne at age 5; Anne of Austria rules as regent.
1643      	Roger Williams publishes A Key into the Language of America.
1643      	The New England Confederation is formed against the Indians, Dutch and French.
1643      	The building of the Potala palace, residence of the Dalai Lama, is begun in Lhasa, Tibet.
1643      	The first French settlement is founded on Madagascar.
1644      	French landscape artist Claude Lorrain paints the Embarkation of Saint Ursula.
1644      	French philosopher Descartes proclaims Cogito, ergo sum (I think, therefore I am).
1644      	Italian artist Giovanni Bernini sculpts the Ecstasy of St. Teresa.
1644      	Oliver Cromwell's Model Army defeats a Royalist army at Marston Moor.
1644      	Queen Christina begins her reign in Sweden.
1644      	The Manchus seize Peking and establish the Ch'ing dynasty.
1645      	Alexis succeeds Michael as the Romanov tsar of Russia.
1645      	French philosopher and scientist Blaise Pascal invents the first adding machine.
1645      	Oliver Cromwell defeats Charles I at the Battle of Naseby.
1645      	The Swedes defeat Denmark and later defeat the Imperial forces at Jankau.
1645      	William Laud archbishop of Canterbury is executed.
1646      	Flemish painter Teniers the Younger paints the Village Fete.
1646      	Spanish artist Bartolome Esteban Murillo paints Holy Family With a Bird.
1646      	The English Civil War ends when Charles I surrenders to the Parliamentarians.
1646      	The Swedes capture Prague and invade Bavaria with their French allies.
1647      	Charles I escapes from England and concludes a treaty with the Scots.
1647      	Peter Stuyvesant becomes governor of the Dutch colony of the New Netherlands.
1648      	Dutch architect Jacob van Campen designs the Amsterdam City Hall.
1648      	Frederick III succeeds Christian IV as king of Denmark.
1648      	George Fox founds the Society of Friends (Quakers) about this time.
1648      	Margaret Jones becomes the first person executed as a witch in North America.
1648      	Naples is restored to Spanish rule after a brief uprising.
1648      	Russian explorer Semyon Dezhnev discovers the Bering Strait.
1648      	The Dutch and Swiss republics achieve independence.
1648      	The English settle in the Bahamas.
1648      	The Fronde revolt begins in France against Anne of Austria and Cardinal Mazarin.
1648      	The Scots renew the Civil War but are defeated at Preston; Charles I is captured.
1648      	The Treaty of Westphalia ends the Thirty Years' War.
1649      	Charles I is executed; the English Commonwealth (republic) begins.
1649      	French artist Georges de La Tour paints Saint Irene Mourning Saint Sebastian.
1649      	Oliver Cromwell suppresses a Catholic rebellion in Ireland.
1650      	Charles II lands in Scotland to renew the English Civil War.
1650      	Dutch landscape artist Aelbert Cuyp paints the View of Dordrecht.
1650      	Irish Bishop James Ussher establishes the date of creation at 4004 BC.
1650      	Oratorios become a popular form of musical performance in Italy.
1650      	The Holy Roman Empire and Sweden sign the Treaty of Nuremberg.
1650      	The Ukiyo-e school of art begins to flourish in Japan about this time.
1650      	The first coffeehouses are opened in London about this time.
1650      	Whaling becomes an important industry in New England about this time.
1651      	Charles II is crowned by the Scots; defeated at Worcester, he escapes to France.
1651      	Thomas Hobbes publishes Leviathan, a defense of absolute monarchy.
1652      	Cape Town is founded by the Dutch in South Africa.
1652      	The English Navigation Acts (1651) lead to the first Anglo-Dutch War.
1653      	English writer Izaak Walton publishes The Compleat Angler.
1653      	French composer Jean Baptiste Lully writes the first minuet.
1653      	Louis XIV becomes known as the Sun King after his role in the Ballet de la Nuit.
1653      	Oliver Cromwell becomes the lord protector of England.
1654      	Blaise Pascal and Pierre de Fermat collaborate on theories of probability.
1654      	French philosopher Blaise Pascal joins the Jansenist sect at Port-Royal.
1654      	Poland and Russia are at war over possession of the Ukraine.
1654      	Queen Christina of Sweden abdicates and becomes a Roman Catholic.
1654      	The Portuguese drive the Dutch from Brazil.
1654      	The Treaty of Westminster ends the first Anglo-Dutch War.
1655      	Dutch colonists under Peter Stuyvesant seize Swedish settlements in Delaware.
1655      	The English capture Jamaica from Spain.
1655      	The Little Northern War begins with Sweden invading Poland and capturing Warsaw.
1656      	Diego Velazquez paints The Maids of Honor at the court of Spain.
1656      	Dutch philosopher Baruch Spinoza is expelled from the synagogue at Amsterdam.
1656      	Dutch philosopher Christiaan Huygens patents the first pendulum clock.
1656      	England joins France in the war against Spain.
1656      	Italian artist and architect Giovanni Bernini designs the Piazza of St. Peter's, Rome.
1656      	The Holy Roman Empire, Russia and Denmark declare war on Sweden.
